id,title,url,year,image,status_title,status_type,objects_count,news_count,resources
160,«Наследие и развитие»,/nasledie-i-razvitie,2026,,Друзья,friends,0,0,[]
153,Косково,/koskovo,2026,/public/uploads/city/2026/02/10/img_698b55ffa2439_1770739199_8475-medium.jpeg,Новый,new,1,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.ru/club235887799"", ""type"": ""vk""}]"
151,Талдом,/taldom,2026,/public/uploads/city/2026/02/04/img_698348fbdc3c9_1770211579_3461-medium.jpeg,Новый,new,1,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.ru/tsf_taldom"", ""type"": ""vk""}]"
152,Невель,/nevel,2026,/public/uploads/city/2026/02/05/img_6983b40851b05_1770238984_7863-medium.jpeg,Новый,new,0,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.ru/tsf_nevel"", ""type"": ""vk""}]"
149,Старая Купавна,/staraya-kupavna,2026,/public/uploads/city/2026/01/29/img_697b5d3c3164c_1769692476_3878-medium.jpeg,Новый,new,2,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.com/club234123665"", ""type"": ""vk""}]"
148,Вельск,/velsk,2026,/public/uploads/city/2026/01/30/img_697c96ec2ddd2_1769772780_7643-medium.jpeg,Новый,new,1,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.com/club233115278"", ""type"": ""vk""}]"
147,Москва,/moskva,2025,/public/uploads/city/2026/02/25/img_699ed42876197_1772016680_3379-medium.jpeg,Сезон завершился,ended,1,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.ru/tsfmsk"", ""type"": ""vk""}, {""title"": ""Канал телеграм"", ""url"": ""https://t.me/tsf_Moscow"", ""type"": ""tg""}]"
146,Солигалич,/soligalich,2025,/public/uploads/city/2026/01/30/img_697c97baee87c_1769772986_2743-medium.jpeg,Сезон завершился,ended,2,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.ru/tsf_soligalich"", ""type"": ""vk""}]"
145,Сегежа,/segezha,2025,/public/uploads/city/2026/01/30/img_697c9816c8fe5_1769773078_7343-medium.jpeg,Сезон планируется,planned,1,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.ru/tsf_segezha"", ""type"": ""vk""}]"
144,Аверкиево,/averkievo,2025,/public/uploads/city/2026/01/30/img_697c9877dfbb3_1769773175_5158-medium.jpeg,Сезон начался,started,1,0,"[{""title"": ""Группа ВКонтакте"", ""url"": ""https://vk.ru/tsf_averkievo"", ""type"": ""vk""}]"
